MedianRooms,MedianAge,Households,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Longitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,Desempleo,Ti,pca1,pca2,MedianPrice,State
5.9,39.9,4866,21675,19473,1313.334,31.739712,-82.290103,1326.751,13.417,40,194,3.5,4.3,76.74107142857143,-0.45731277813862,-0.1756918742501871,87100,GA
5.5,35.9,2054,20887,23306,878.994,31.300562,-82.883614,892.338,13.343,40,198,3.6,3.1,70.4973442781265,-0.5942180768833619,-0.2242971267415627,63400,GA
5.5,36.5,2436,19882,20313,669.708,31.563327,-82.387859,740.277,70.569,42,190,3.5,4.1,73.15137437088657,-0.4506296219488118,-0.2267553357068915,82300,GA
5.7,52.2,852,25691,18654,885.63,31.319622,-84.454857,904.264,18.634,39,201,4.4,6.5,69.8670126500162,-0.4984629687792588,-0.2473714236338477,108100,GA
5.3,35.8,10219,26934,26492,667.812,33.059532,-83.255362,692.591,24.779,42,192,5.5,6.2,58.41191066997519,-0.3063278890960499,-0.1797176824360486,128800,GA
5.9,41.5,5230,24303,21416,601.112,34.351922,-83.498441,605.763,4.651,44,191,6.1,3.3,72.2010582010582,-0.0682264325589075,-0.2732668993094829,164500,GA
6.4,36.0,20634,25849,37105,415.199,33.992009,-83.712303,422.016,6.818,46,178,6.2,3.7,76.30400730170085,-0.0171677592386419,-0.1571620367130977,169900,GA
5.8,38.2,27822,27047,32852,1190.214,34.240918,-84.838188,1217.588,27.374,46,176,6.4,4.6,69.17002799791202,-0.1059216327452164,-0.1379943683377642,178500,GA
5.9,39.8,4941,20545,19747,1170.408,31.274308,-83.231906,1185.911,15.503,39,199,4.0,4.4,66.23888918108662,-0.5933507957809256,-0.1717398159805905,95200,GA
5.5,36.3,34635,25519,26538,646.88,32.808844,-83.694193,661.394,14.514,42,192,5.6,6.6,53.58248667923321,-0.3449917140585524,-0.1091559156082083,125300,GA
5.9,36.0,3064,20502,27862,559.1,32.435403,-83.331717,567.548,8.447,41,193,5.1,6.1,73.64381198792583,-0.385083867105419,-0.2352879311482706,101900,GA
5.9,40.8,4253,18883,17835,1145.713,31.197334,-81.982978,1158.249,12.536,41,199,3.5,4.7,76.87818336162988,-0.5728339209053868,-0.1908033126253623,92800,GA
5.6,43.6,4118,26115,18528,1276.982,30.833696,-83.588971,1289.297,12.315,39,205,3.9,5.0,69.18234912394549,-0.6335937345499029,-0.1632325731983353,94200,GA
6.3,34.1,10415,32825,41955,1129.148,32.017969,-81.438543,1177.035,47.887,41,188,3.8,3.8,71.74442031450326,-0.3196775258762523,0.1139818905117452,227400,GA
5.7,29.2,17002,25121,27662,1742.568,32.393408,-81.74381,1783.532,40.963,41,193,4.2,5.1,55.40413872665657,-0.4950786392179446,-0.0031476101567023,147100,GA
5.9,38.1,5530,24050,25018,2141.836,33.063737,-82.00389,2162.595,20.759,42,190,4.8,6.4,71.64906943450251,-0.325365214545723,-0.1343181130558185,89900,GA
5.9,38.9,6142,25343,34971,477.576,33.290355,-83.958221,487.024,9.448,44,186,6.0,5.1,68.06377079482439,-0.2325458685829834,-0.2419106973578743,156700,GA
5.3,39.6,1216,15461,18684,726.147,31.521279,-84.62629,734.463,8.316,40,191,5.3,4.9,63.93850327831788,-0.4489229330245833,-0.3397133746553493,48700,GA
