MedianRooms,MedianAge,Households,MedianHouseholdIncome,MedianFamilyIncome,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice,State
5.6,37.9,71314,68327,95923,38592,45167,1354.056,42.588271,1381.246,27.189,53,124,4.4,7,5.2,62.05242579246478,1.0594874339212883,0.3467940502483089,230300,NY
5.8,39.3,11553,51227,65372,26030,30455,2665.895,42.247894,2679.048,13.154,75,54,3.6,9,6.0,81.34486580253457,1.3885315948248986,-0.2115911567618418,78400,NY
5.9,39.7,46354,52237,69596,29721,30638,1827.926,42.161977,1853.174,25.249,71,64,3.8,9,6.3,68.567630515029,1.3520473233224235,-0.0199742048912703,120200,NY
5.8,42.5,20244,50700,62587,26797,27564,3388.612,42.244853,3425.222,36.61,76,52,4.3,10,6.3,75.95262824230817,1.4542765824228392,-0.2219216009578517,90200,NY
6.1,43.2,19068,57985,73590,30996,34498,1791.19,43.008546,2236.898,445.708,71,67,4.3,10,5.4,74.43007286802485,1.3250249804983325,-0.1005844174729596,131700,NY
5.9,42.8,32567,48315,62366,27061,26674,2745.974,42.304216,3885.457,1139.483,73,56,5.3,14,7.3,71.91653964039271,1.3578716272589697,-0.1199563441408456,92900,NY
5.9,41.3,20953,54883,70617,29959,32564,1055.036,42.155281,1063.913,8.877,67,73,3.7,9,6.4,69.45737214158135,1.2673132151862774,-0.1351235160527091,108900,NY
5.8,44.8,12880,51756,65537,28780,28489,2314.28,42.489732,2327.441,13.161,72,62,3.7,9,5.3,77.85177595628416,1.4148537369556533,-0.165645654854587,102300,NY
5.6,40.3,18958,59510,73838,29960,36846,2688.025,44.75271,2894.381,206.355,63,91,4.0,7,5.5,71.23884051581616,1.5956027779939672,-0.068216552222171,139600,NY
5.7,48.5,16205,68750,84096,40475,40253,1643.879,42.247729,1679.0,35.121,52,134,3.9,7,4.4,75.90507956361616,1.0190941962178746,0.1170115925108377,236500,NY
6.0,36.4,11624,59194,71430,28407,34728,1291.783,42.593824,1298.927,7.144,70,67,4.0,9,6.2,68.81016557566423,1.4559225467290398,-0.1844482108838377,126700,NY
5.5,48.3,11587,49945,65755,28139,30004,3735.903,42.193987,3800.668,64.766,71,72,4.0,8,5.4,75.9870748620218,1.4327357965188936,-0.1352696866065605,144000,NY
5.9,42.5,72055,81842,103200,42309,44857,2060.672,41.755009,2137.64,76.969,51,142,4.4,7,5.1,72.5874572836583,0.973838294569364,0.4278855484963891,290700,NY
5.9,40.2,228440,59464,80437,35050,36586,2700.563,42.752759,3177.537,476.974,71,61,3.8,10,7.4,69.07999582800151,1.2816344842785956,0.7505724441407186,160700,NY
5.6,48.3,10209,58109,66262,33906,36665,4647.03,44.108971,4963.007,315.978,64,88,3.8,6,5.6,76.50633790588644,1.4765096088020675,-0.0145401410613122,160400,NY
5.8,40.5,11882,52905,65693,26886,32312,4219.398,44.594374,4396.43,177.032,74,68,4.1,8,5.6,75.28453470207543,1.855755420381608,-0.1691258252839084,110600,NY
5.7,44.2,14552,51663,63988,29984,32330,1283.259,43.115609,1380.152,96.893,59,102,4.6,8,6.1,69.81182590071138,1.243671601255027,-0.1435215563530453,120100,NY
6.0,43.0,14977,60635,76818,30846,34011,1276.698,43.00091,1282.84,6.143,71,61,3.4,9,5.1,76.16908850726553,1.2956305205865777,-0.1525505984946172,125200,NY
5.6,46.7,10701,56681,76110,30970,32753,1676.14,42.286951,1704.341,28.201,53,130,4.4,7,5.8,78.40666575852518,1.1589837053388723,-0.0618661770749496,185600,NY
4.8,55.5,939,60625,74306,28758,37417,4447.976,43.657879,4682.19,234.214,66,86,4.0,7,6.1,82.7506367214633,1.5054535711460573,-0.0851300178752811,170500,NY
6.0,44.3,15791,58438,75594,29540,32590,3655.689,43.461635,3776.09,120.4,75,62,5.8,9,7.0,76.91165062965226,1.7901491489423802,-0.1780137029525776,106600,NY
5.5,32.8,28391,54726,66711,28120,34213,3285.632,43.995371,4810.181,1524.549,69,75,4.2,11,5.9,57.93936622267955,1.4427642280105977,-0.0047982352150689,150100,NY
5.5,42.2,7111,56192,65238,27770,36293,3301.404,43.786397,3340.985,39.581,71,71,4.7,9,5.8,82.99509879001378,1.7282549286325624,-0.2293662814080095,122800,NY
6.1,41.5,15535,60248,75384,30523,33974,1636.257,42.727485,1658.263,22.006,68,64,3.1,9,5.2,79.54768068285173,1.2623039296245322,-0.1178767199444988,134000,NY
6.0,42.3,16675,61176,78812,32443,33730,1696.033,42.910026,1712.715,16.681,69,74,4.2,10,5.4,80.48417245414343,1.400497886757998,-0.0911452077046835,140000,NY
