MedianRooms,MedianAge,Households,MedianHouseholdIncome,MedianFamilyIncome,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice,State
5.5,44.6,6306,43090,56853,25598,22192,1270.348,34.213809,1323.464,53.116,42,194,5.9,6,5.2,75.77432694742173,-0.2294369545285468,-0.2439483805665233,100700,SC
5.9,41.1,45291,53385,66406,29470,30623,2773.965,33.549317,2798.729,24.764,41,198,4.9,8,4.1,73.91070500140438,-0.3051959955325983,0.1242107462728254,153700,SC
5.6,44.7,2051,26074,43850,16985,17347,1056.949,32.979784,1068.157,11.208,42,190,4.9,7,9.5,66.28689798032109,-0.3881628084091427,-0.3025415993279781,47100,SC
5.7,40.7,53809,53598,66713,28931,28840,1852.945,34.519549,1961.751,108.806,43,193,6.4,6,4.6,74.28149437031492,-0.0702657628927664,-0.0220583168203775,153600,SC
5.9,41.5,3344,42830,54210,19814,20417,1018.822,33.203021,1024.501,5.679,41,198,5.0,7,8.8,72.95219244823386,-0.3450233128284433,-0.2046931978288972,78900,SC
5.6,41.6,5267,37572,51669,22339,21404,1420.33,33.26068,1443.303,22.973,40,198,4.8,8,7.6,73.36307382357174,-0.3560279608534356,-0.1796873349212107,87600,SC
5.8,46.2,50858,71430,83157,41070,43811,1492.559,32.358147,2391.586,899.027,38,205,3.8,8,4.3,72.69512954490077,-0.4418511905409674,0.3749718142206716,309600,SC
6.0,36.5,56376,65443,75675,30655,41811,2846.025,33.2077,3183.708,337.683,39,200,4.8,7,4.5,73.02084048223641,-0.3489835829641557,0.2411437772579924,197300,SC
5.8,46.0,4055,49844,66027,26492,24114,987.177,33.67478,1016.528,29.351,40,200,5.0,8,5.6,81.5510430383256,-0.2785266259535698,-0.1171268301165759,104500,SC
5.5,38.0,93812,67182,88889,43141,43631,2372.659,32.800458,3517.194,1144.535,39,203,4.7,9,4.8,64.61270406423999,-0.3748185264344483,0.6105867283858946,334600,SC
5.4,39.3,11465,37787,53832,21636,21777,1016.982,35.049796,1028.687,11.705,43,195,4.8,6,6.4,73.71190840237529,-0.0859371205032697,-0.2234188880432471,98300,SC
5.6,41.9,8529,43985,53955,22955,21692,1503.895,34.689345,1518.157,14.262,41,201,5.4,6,7.4,79.50556473485675,-0.2345672480024655,-0.2032501842384147,94200,SC
