MedianRooms,MedianAge,Households,MedianHouseholdIncome,MedianFamilyIncome,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice,State
5.5,45.8,8978,46178,57143,27012,29261,1164.189,37.765944,3392.983,2228.794,42,194,4.5,12,4.9,60.70940469758128,0.098048135065881,0.0694599443769321,173700,VA
6.3,39.4,26522,84643,106967,46241,49949,1866.6,38.024184,1880.636,14.036,42,194,4.4,5,3.7,68.12223618214735,0.3033935281238793,0.350213025741127,376000,VA
5.4,48.0,3968,48513,63007,28048,27269,1153.727,37.787905,1162.263,8.536,47,170,4.7,5,4.2,80.1541820166462,0.3457011479911346,-0.2144480967738927,121100,VA
6.1,45.0,3473,63918,79010,32799,30125,920.143,37.336131,928.567,8.425,41,199,4.1,6,4.1,78.62595419847328,0.1296343824980853,0.0362990272401172,215600,VA
5.9,44.9,8150,57368,74460,28866,29568,1227.484,37.630362,1240.215,12.73,41,199,4.8,5,4.1,78.23454740747974,0.1956713919569257,-0.0773937454592247,159900,VA
5.7,42.7,4402,55457,70563,27889,24808,863.745,37.370725,866.949,3.205,40,203,4.6,6,4.7,79.4513589027178,0.1577570243606014,-0.0876636714614142,160600,VA
4.0,34.8,49806,122604,165016,73078,94711,67.274,38.878337,67.518,0.244,43,185,4.2,7,3.6,47.83418923793003,0.3192543964065971,0.9800014776624478,731700,VA
6.2,45.1,20803,65076,75728,30493,35352,2504.516,38.167807,2514.504,9.988,43,187,3.8,6,3.4,80.3204108403807,0.2781774530461234,0.0921574072443967,219600,VA
6.1,46.6,23151,67136,77083,34565,34758,1950.315,37.312408,1992.359,42.044,42,193,4.5,6,3.8,83.80096839959225,0.2391357269872447,0.0687452573226331,211600,VA
5.3,46.1,1506,50365,54091,23664,33813,926.503,37.130612,929.101,2.598,53,147,4.0,7,3.6,79.182156133829,0.3779100711818519,-0.2710796287579738,125600,VA
6.3,47.4,9454,72719,88043,37357,40664,1401.707,37.553193,1413.902,12.196,42,193,4.3,5,3.2,87.56083552492368,0.2842677858546189,0.0517628289462265,230500,VA
5.8,44.6,3744,46111,50704,24493,26642,1466.382,36.764531,1474.7,8.318,40,203,3.8,7,6.6,68.60087940604052,0.0409611448660054,-0.1116000222401453,113600,VA
5.4,47.6,5558,34302,41571,22092,20603,1302.149,37.26812,1304.947,2.798,55,138,4.3,6,7.9,78.62294123379787,0.3971846666101162,-0.394057307456825,69500,VA
5.6,42.9,4037,48603,61702,23045,25274,1501.305,37.573928,1511.403,10.099,41,197,4.7,6,5.9,71.97268893500234,0.1389873447252173,-0.1376206145307929,135600,VA
5.8,43.1,15234,52319,64131,28173,30313,1305.009,37.210151,1313.971,8.962,41,201,4.6,6,4.3,74.14988324576765,0.1775788429859891,-0.0750632949063478,159400,VA
6.2,39.5,7911,67901,82627,35588,40024,1366.252,38.030319,1390.485,24.233,43,191,4.3,6,4.8,81.33770538043862,0.2237414504963782,0.0873640040421432,218000,VA
5.4,48.3,7963,44518,55304,24476,21894,1229.441,36.732426,1237.089,7.648,43,190,4.2,7,4.8,79.55347836320232,0.1898255849174055,-0.2051813774527017,112500,VA
5.7,46.1,3013,40924,58939,24337,23528,1230.946,37.014091,1236.773,5.828,41,200,4.3,6,4.0,64.08886627660476,0.056602748165072,-0.1603916466454827,121000,VA
6.9,39.0,92424,84645,97941,42734,49748,1096.334,37.378434,1131.707,35.373,42,192,4.1,6,4.1,77.1689325568986,0.1768960703624339,0.4809755748616272,252600,VA
6.8,48.1,3961,86154,113322,42327,41570,456.298,39.115931,461.956,5.659,46,169,3.9,6,3.4,78.75629546726357,0.4797400969980074,0.2346917326629985,366100,VA
5.1,47.9,1514,57792,82083,30433,21360,853.49,37.473129,856.288,2.799,42,191,4.2,6,3.3,71.91915227629512,0.1884143626718488,-0.098315243821184,147900,VA
6.5,39.8,13040,80663,90492,37507,43386,982.211,38.48593,990.783,8.572,43,187,4.1,6,3.5,73.96704036762667,0.3079817362259632,0.182191064335059,310700,VA
5.8,44.9,2607,50565,62313,29160,36108,770.42,37.520189,776.351,5.932,41,197,4.7,6,4.4,77.17745217745218,0.1669827402305644,-0.1217870449862547,159600,VA
5.4,45.2,3707,30116,41250,25485,18348,856.075,37.137081,864.182,8.107,54,141,4.9,6,6.0,76.55059460229296,0.3615718406350008,-0.4225932580676722,81300,VA
6.0,42.8,7114,65485,80819,30351,34995,1304.619,37.073498,1313.621,9.002,41,197,3.8,7,5.1,76.46678867477662,0.1275333979047998,0.0614313160354474,185200,VA
5.4,46.7,2891,51125,60506,26114,35172,665.944,37.93948,740.738,74.794,42,193,4.2,7,5.4,69.3012494215641,0.1534182345123351,-0.0840533168857427,196500,VA
6.6,38.1,281773,127866,149576,58338,83585,1012.604,38.833743,1052.172,39.567,43,183,4.4,7,4.2,69.45821231636991,0.4141222008206072,1.489063817359625,576700,VA
