Variable,VIF
Housing_units,5.972309183593913
Median_rooms,5.9525246042696205
Total_population,5.906429316370927
Median_age,5.971343840482205
Vacant_housing_units,5.972309183593913
Owner_occupied,5.972309183593913
Renter_occupied,5.972309183593909
Total_Household,5.972309183593913
Median_Household_income,5.971995513425837
Median_Family_income,5.855825292646255
PerCapita_income,5.85329631845327
Nonfamily_households,5.972309183593913
Median_nonfamily_income,5.97230204732937
Median_Gross_Rent,4.988364227302273
Gini_Index,5.951179910345817
Poverty_Status,5.934333601628068
Unemployment_ 16YearsAndOver,5.881716299852307
