MedianRooms,MedianAge,Households,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice
5.1,31.7,50803,29821,30948,2266.292,29.67574,2509.202,242.911,37,208,2.8,6,4.6,56.87772061733281,-0.7643166087692028,0.3050864338533417,201600
5.9,37.8,6448,24051,38529,1515.741,30.324442,1525.427,9.686,40,198,2.9,5,4.8,78.13569872393403,-0.6243527760104753,0.00588828768476351,158000
5.0,40.6,47432,30774,36278,1964.401,30.237563,2675.854,711.453,37,200,5.7,9,5.1,67.39340812675121,-0.6264995097878653,0.09367548137247188,195000
5.4,39.8,5882,21003,23239,761.357,29.946934,778.262,16.905,39,203,2.7,6,5.1,65.5176789037388,-0.7316777968733374,-0.10668201487153475,118900
5.5,47.2,148934,33662,37897,2630.558,28.298276,4032.599,1402.041,33,220,2.1,9,5.1,75.94280008776958,-0.9187829489986913,0.7732154171587967,220000
4.7,40.5,447453,34063,40473,3133.329,26.19352,3426.198,292.869,34,205,1.6,9,6.6,62.95795104730183,-1.10082340240956,1.8945321170635083,282400
5.3,41.9,2753,19512,19415,1469.389,30.388801,1487.464,18.075,39,198,4.6,6,4.8,78.47402597402598,-0.6107591180805977,-0.2794507294209425,91100
4.9,59.5,51016,33275,32749,1761.914,26.868826,2222.989,461.075,30,230,1.8,7,5.5,80.5529064860184,-1.074934528040321,0.29939135763409347,209500
5.5,56.7,40063,28174,27557,1506.586,28.843628,2002.823,496.236,33,225,2.2,6,7.1,82.00469538516616,-0.981007934415983,0.14238143531430092,144100
6.3,39.8,57587,32037,41787,1565.286,29.987116,1666.782,101.496,39,199,2.4,6,4.3,77.1859296482412,-0.648540558105805,0.27762691251336447,195900
4.9,51.3,98121,46785,43343,5175.636,26.118713,5969.962,794.325,31,214,1.4,7,4.7,70.46740624700278,-1.0092047754963946,0.8108951685836566,366600
5.2,40.6,15740,24569,26831,2065.708,30.221305,2075.43,9.723,38,206,3.3,6,5.6,72.21599854668766,-0.6933819257669972,-0.03432440403758636,128800
4.9,40.7,8306,18193,24778,1649.976,27.190581,1656.25,6.275,31,224,1.7,7,4.6,69.90185387131952,-1.101479905718272,-0.04713246488112693,103600
5.2,46.2,4320,19911,26005,1826.079,29.580899,2236.843,410.764,34,224,3.1,7,5.2,84.750907291323,-0.7917038634797867,-0.14044908625987132,85000
5.5,36.3,225060,32233,39458,1974.068,30.335245,2378.781,404.713,37,205,2.4,6,5.6,59.1674541837655,-0.7466073340653419,0.9090582780153561,195600
5.5,37.3,74083,29166,35882,1700.227,30.611664,2265.474,565.247,42,184,6.1,7,5.8,64.14499500719698,-0.4305720235843674,0.0370273109676333,157200
5.6,51.8,31591,32722,36014,1257.338,29.474894,1478.429,221.091,35,213,2.0,8,5.9,73.66612052999002,-0.8603896525805184,0.22652144131120125,232700
4.9,47.3,2926,26211,36551,1384.931,29.810176,2658.607,1273.676,34,214,4.5,9,4.7,76.07451246725526,-0.6954108211465976,-0.1022157133864464,193800
5.3,41.4,11268,21087,26807,1337.293,30.57917,1368.881,31.588,40,197,4.5,6,6.9,73.38410280818658,-0.597967319867206,-0.23931801081816545,98100
5.3,41.7,4463,22775,27524,905.659,29.723456,920.064,14.406,35,213,3.1,7,4.8,83.09318530766505,-0.7435316532648845,-0.10718773999031693,125900
4.8,47.9,3247,22128,24623,2087.554,26.95481,2555.925,468.371,31,227,1.2,7,5.0,77.27605565047597,-1.0882497528293111,-0.015480246253661798,72100
5.0,46.3,3940,27626,35237,1460.785,29.907257,1956.894,496.109,37,202,4.9,10,5.0,75.15537977237872,-0.6467225484337827,-0.11081467437537035,170700
5.3,40.0,3127,15532,24911,1330.711,30.491102,1344.349,13.638,41,199,3.5,6,7.7,72.80607685433422,-0.6774069336772691,-0.23566610559431023,85900
5.0,35.4,5838,20181,18490,1651.85,27.492846,1653.289,1.44,33,211,1.6,7,5.7,66.57684108916865,-1.0255876096414596,-0.043437481592483604,94100
4.9,35.0,9378,20122,27743,2985.609,26.53934,3082.075,96.465,31,227,1.2,7,6.7,70.80822403403049,-1.1027368179657109,0.022912141361427642,105900
5.7,48.8,51765,26520,30013,1223.869,28.567911,1525.558,301.689,34,221,2.5,7,6.2,78.64395815327187,-0.9290633020589507,0.155749551172964,158400
4.9,54.1,27169,27979,27050,2633.02,27.342627,2864.616,231.596,33,214,1.4,7,6.9,73.14914868140534,-1.001304848926251,0.1256888155630722,120500
5.4,37.4,338683,33616,39627,2642.341,27.90659,3278.314,635.973,30,235,1.8,8,5.4,61.42344355432999,-1.030426006346635,1.3963553047327784,233200
5.3,42.2,4939,19028,21278,1240.028,30.866222,1266.626,26.599,40,191,5.9,7,4.9,72.10285907629843,-0.4930721087340926,-0.351151592704262,86400
5.4,42.2,11459,21058,21951,2376.987,30.787812,2472.31,95.322,40,195,5.0,7,5.5,71.75407779171896,-0.48627392956922194,-0.22753999880922196,101300
5.6,47.3,3796,25795,26853,1549.059,30.424558,1648.618,99.559,39,205,3.7,7,5.4,74.48430853198491,-0.5928973684813512,-0.12112577984800622,137300
5.1,38.6,1655,17022,31923,1407.428,29.990066,1419.075,11.646,39,207,3.5,6,4.6,84.71929084001688,-0.6957977117873112,-0.18209896058712327,100600
5.4,47.0,94332,29426,33802,2430.396,28.764113,2996.523,566.127,34,218,2.0,6,6.2,73.7210721228202,-0.9377309751834432,0.41539943649985284,202500
5.1,48.8,187877,34818,38339,2031.879,26.552134,3140.26,1108.38,28,245,1.3,9,5.3,70.20019502472636,-1.104273965684718,0.9064797462862128,235300
5.1,31.3,61961,31778,33729,1727.139,30.45931,1817.626,90.487,40,200,4.0,6,5.3,55.33899283899284,-0.5908169273157712,0.21807825201356465,212900
5.2,47.0,10747,22772,22553,2896.139,29.284409,3659.121,762.981,35,218,3.1,7,5.5,79.95518234874042,-0.7799954515836375,-0.05869699774975682,119000
4.9,40.6,1602,19585,23564,2164.095,30.259849,2183.678,19.583,39,198,4.6,6,4.5,77.54982415005863,-0.595471649569866,-0.27824838840683874,83700
5.2,44.2,4075,18909,19298,1802.498,30.447228,1853.612,51.114,39,205,3.7,7,5.8,68.90986601705238,-0.6573146215579907,-0.21392536008395308,89100
